YEAR,PERIOD,UNIT_CODE,UNIT_TITLE,DELIVERY_UNIT,FULL_PERIOD_NUM,CLASS_SIZE,CLASS_BOXPLOT
2021,H1B3,NEF1104,Problem solving for engineers,NEF1104-2021-H1B3,2021130,24,"{""q1"": 47.5, ""median"": 60.0, ""q3"": 70.5, ""whisker_low"": 39.0, ""whisker_high"": 91.0, ""outliers"": [0.0, 0.0, 3.0, 0.0]}"
2021,H1B3,NEF1201,Engineering mathematics 2,NEF1201-2021-H1B3,2021130,33,"{""q1"": 47.0, ""median"": 60.0, ""q3"": 75.0, ""whisker_low"": 6.0, ""whisker_high"": 95.0, ""outliers"": [0.0]}"
2021,H1B3,NEF2101,Fluid mechanics 1,NEF2101-2021-H1B3,2021130,16,"{""q1"": 66.75, ""median"": 72.5, ""q3"": 85.5, ""whisker_low"": 50.0, ""whisker_high"": 91.0, ""outliers"": [27.0]}"
2021,H1B3,NEF3101,Project management,NEF3101-2021-H1B3,2021130,46,"{""q1"": 60.0, ""median"": 62.0, ""q3"": 65.75, ""whisker_low"": 54.0, ""whisker_high"": 73.0, ""outliers"": [51.0, 0.0, 75.0, 50.0, 43.0]}"
2021,H1B3,NEF4105,Professional engineering practice,NEF4105-2021-H1B3,2021130,26,"{""q1"": 76.0, ""median"": 80.0, ""q3"": 84.75, ""whisker_low"": 64.0, ""whisker_high"": 92.0, ""outliers"": [56.0, 22.0]}"
2021,H1B3,NEM2101,Mechanical engineering design,NEM2101-2021-H1B3,2021130,21,"{""q1"": 41.0, ""median"": 60.0, ""q3"": 70.0, ""whisker_low"": 0.0, ""whisker_high"": 90.0, ""outliers"": []}"
2021,H1B3,NEM3103,Thermodynamics 2,NEM3103-2021-H1B3,2021130,12,"{""q1"": 67.75, ""median"": 72.0, ""q3"": 76.5, ""whisker_low"": 62.0, ""whisker_high"": 87.0, ""outliers"": []}"
2021,H1B3,NEM4101,Mechanical vibrations,NEM4101-2021-H1B3,2021130,23,"{""q1"": 50.0, ""median"": 60.0, ""q3"": 64.5, ""whisker_low"": 37.0, ""whisker_high"": 73.0, ""outliers"": []}"
2021,H1B2,NBC1101,Maths for builders,NBC1101-2021-H1B2,2021120,28,"{""q1"": 34.5, ""median"": 55.0, ""q3"": 70.0, ""whisker_low"": 0.0, ""whisker_high"": 82.0, ""outliers"": []}"
2021,H1B2,NBC1103,Basic structural mechanics,NBC1103-2021-H1B2,2021120,17,"{""q1"": 51.0, ""median"": 59.0, ""q3"": 73.0, ""whisker_low"": 39.0, ""whisker_high"": 92.0, ""outliers"": [11.0]}"
